Lambda,Avg Turnaround,Avg Throughput,CPU Util,Disk Util,Avg # in CPU Queue,Avg # in Disk Queue
1,0.07709312646,1.002508949,0.03360377307,0.04036838589,0.01297820002,0.007591822886
2,0.07966323424,0.5040706991,0.06667016905,0.08041104403,0.02534562212,0.01681174262
3,0.08519883831,0.3352910125,0.1000078009,0.1251757925,0.04552132304,0.03704247817
4,0.08877801548,0.250248743,0.134312919,0.1639973698,0.06717615268,0.0617294376
5,0.08909834512,0.1997056923,0.1676624102,0.1958339862,0.09110968295,0.07579263068
6,0.09632077596,0.165418838,0.2016719162,0.2475980657,0.1218613077,0.1180064038
7,0.1001558434,0.1411298754,0.2370232245,0.2834850372,0.1589557805,0.1605114544
8,0.1039111364,0.125636609,0.2648989481,0.3185911365,0.1928650348,0.1928012919
9,0.1089844789,0.1087223001,0.3016494089,0.3571751859,0.2403130946,0.2756011071
10,0.1187905942,0.1004976039,0.3345163082,0.4013114296,0.2824536681,0.358015202
11,0.1207426853,0.09074441039,0.3667039339,0.4438915789,0.3169128319,0.3686715615
12,0.1281891515,0.08311383813,0.4004373286,0.473853795,0.4211537631,0.4524374973
13,0.1402191222,0.07779536324,0.4316016904,0.5160692982,0.4976273062,0.5830230034
14,0.1428927284,0.07141667287,0.4577174913,0.5438540125,0.5454189762,0.6853602869
15,0.1639170468,0.06768159358,0.4943011264,0.6000439506,0.6604767243,0.9168799306
16,0.1945376141,0.06208383247,0.5433870855,0.6642018899,0.8320081205,1.378954492
17,0.1996499106,0.05782205734,0.5703498826,0.6903538584,0.9531046178,1.530046091
18,0.2224145205,0.05518260204,0.602486416,0.7037580091,1.201951725,1.86469623
19,0.26513314,0.0528360512,0.6376840025,0.7657568796,1.282514081,2.655935313
20,0.3409157417,0.05071787544,0.6625403298,0.8091191232,1.63004949,4.085740874
21,0.3604420031,0.04743041701,0.6906437176,0.8320115943,1.737784946,4.763870968
22,0.5797799995,0.04539223686,0.7506543734,0.910067572,2.549767813,8.845559034
23,0.5210524202,0.04313388272,0.7688656022,0.8410130337,2.862529153,7.856720221
24,0.6161279643,0.04124896648,0.8108549643,0.8848284556,3.921757259,9.732784642
25,3.51208421,0.04052211135,0.8242358575,0.03603300483,4.745784998,80.99664921
26,4.262712381,0.03874118621,0.8572119517,0.0737553926,5.805207141,112.5232184
27,5.735871797,0.03746048623,0.8839734668,0.00516207641,6.717230683,160.4046486
28,8.815227402,0.03752995808,0.896151499,0.0005816156821,7.789933418,270.4240296
29,8.359668815,0.03672563959,0.907689678,0.102669345,9.58725887,256.0762358
30,9.237583343,0.03587601535,0.9192832111,0.0065434647,11.40193017,303.8897636
